Player,Inns,Runs,Avg,Strikerate,4s,6s,Cluster,Grade
T Shamsi,3,9,0.0,60.0,1,0,1,B
TM Head,6,329,54.83,127.52,37,13,0,A
JDS Neesham,2,58,29.0,123.4,3,3,1,B
W Barresi,4,83,20.75,74.11,11,1,1,B
Shariz Ahmad,1,6,6.0,75.0,0,0,1,B
JJ Bumrah,3,18,18.0,62.07,1,0,1,B
Kuldeep Yadav,2,19,9.5,61.29,1,0,1,B
FDM Karunaratne,2,15,7.5,68.18,1,0,1,B
AD Mathews,3,51,17.0,65.38,4,1,1,B
PVD Chameera,4,6,1.5,15.38,0,0,1,B
TG Southee,2,16,8.0,76.19,2,0,1,B
Tanzim Hasan Sakib,1,5,0.0,83.33,1,0,1,B
Noor Ahmad,1,26,26.0,81.25,4,0,1,B
AL Phehlukwayo,1,39,0.0,105.41,1,3,1,B
Agha Salman,1,51,51.0,113.33,6,1,1,B
Mohammed Siraj,1,9,0.0,112.5,1,0,1,B
